source,seller,property_type,location_text,province,price_php,lot_area_sqm,floor_area_sqm,tct,sale_type,auction_date,maps_url,image_url
foreclosurephilippines,PDIC,Agricultural,"Libacao, Aklan",Aklan,387840.0,12928.0,,,,,https://www.google.com/maps/search/?api=1&query=Libacao%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/52368-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Nabas, Aklan",Aklan,409920.0,3660.0,,,,,https://www.google.com/maps/search/?api=1&query=Nabas%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/03/55949-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Malay, Aklan",Aklan,447500.0,2009.0,,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/53093-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Numancia, Aklan",Aklan,848000.0,2120.0,,,,,https://www.google.com/maps/search/?api=1&query=Numancia%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/53450-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"New Washington, Aklan",Aklan,944460.0,792.0,,,,,https://www.google.com/maps/search/?api=1&query=New+Washington%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/53087-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Batan, Aklan",Aklan,1000160.0,6251.0,,,,,https://www.google.com/maps/search/?api=1&query=Batan%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/51956-310x190.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Libacao, Aklan",Aklan,1380000.0,45974.0,,,,,https://www.google.com/maps/search/?api=1&query=Libacao%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2022/06/bank-of-commerce-foreclosed-properties-2022-v1-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Makato, Aklan",Aklan,1798000.0,2900.0,,,,,https://www.google.com/maps/search/?api=1&query=Makato%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/51953-310x190.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Kalibo, Aklan",Aklan,1804000.0,322.0,,,,,https://www.google.com/maps/search/?api=1&query=Kalibo%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2022/06/bank-of-commerce-foreclosed-properties-2022-v1-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Balete, Aklan",Aklan,2617120.0,23792.0,,,,,https://www.google.com/maps/search/?api=1&query=Balete%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/53091-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Nabas, Aklan",Aklan,2720920.0,7533.0,,,,,https://www.google.com/maps/search/?api=1&query=Nabas%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/53443-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Balete, Aklan",Aklan,3710360.0,22833.0,,,,,https://www.google.com/maps/search/?api=1&query=Balete%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/52153-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Nabas, Aklan",Aklan,3795000.0,8625.0,,,,,https://www.google.com/maps/search/?api=1&query=Nabas%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55101-310x190.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Kalibo, Aklan",Aklan,4048000.0,1012.0,,,,,https://www.google.com/maps/search/?api=1&query=Kalibo%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2022/06/bank-of-commerce-foreclosed-properties-2022-v1-310x190.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,6284000.0,,27.2,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,6318000.0,,26.0,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,6353000.0,,27.5,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,6502000.0,,26.9,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,6565000.0,,27.5,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,7273000.0,,25.9,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Libacao, Aklan",Aklan,10586000.0,11506.25,,,,,https://www.google.com/maps/search/?api=1&query=Libacao%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2022/06/bank-of-commerce-foreclosed-properties-2022-v1-310x190.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"Malay, Aklan",Aklan,13042000.0,,52.0,,,,https://www.google.com/maps/search/?api=1&query=Malay%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2017/10/maybank-foreclosed-properties-for-sale-featured.jpg
foreclosurephilippines,Unknown (foreclosurephilippines),,"New Washington, Aklan",Aklan,15948000.0,9380.49,,,,,https://www.google.com/maps/search/?api=1&query=New+Washington%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2022/06/bank-of-commerce-foreclosed-properties-2022-v1-310x190.jpg
foreclosurephilippines,BDO,RESIDENTIAL,"Kalibo, Aklan",Aklan,17308200.0,2172.0,445.0,,,,https://www.google.com/maps/search/?api=1&query=Kalibo%2C+Aklan%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/05/r-2024002246-310x190.jpg
foreclosurephilippines,PDIC,Residential,"Nueva Valencia, Guimaras",Guimaras,717260.0,586.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,
foreclosurephilippines,PDIC,Agricultural,"Nueva Valencia, Guimaras",Guimaras,724190.0,6466.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55314-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Buenavista, Guimaras",Guimaras,990000.0,15000.0,,,,,https://www.google.com/maps/search/?api=1&query=Buenavista%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55316-310x190.jpg
foreclosurephilippines,PDIC,Residential,"Nueva Valencia, Guimaras",Guimaras,1059190.0,939.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/03/56206-310x190.jpg
foreclosurephilippines,PDIC,Residential,"Nueva Valencia, Guimaras",Guimaras,1344000.0,1245.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55425-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Nueva Valencia, Guimaras",Guimaras,2216520.0,13100.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/03/55913-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"San Lorenzo, Guimaras",Guimaras,2753090.0,48131.0,,,,,https://www.google.com/maps/search/?api=1&query=San+Lorenzo%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/03/56217-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Buenavista, Guimaras",Guimaras,3750000.0,50000.0,,,,,https://www.google.com/maps/search/?api=1&query=Buenavista%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55427-310x190.jpg
foreclosurephilippines,PDIC,Agricultural,"Jordan, Guimaras",Guimaras,4116440.0,30033.0,,,,,https://www.google.com/maps/search/?api=1&query=Jordan%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55672-310x190.jpg
foreclosurephilippines,PDIC,Residential,"Buenavista, Guimaras",Guimaras,4245170.0,2998.0,,,,,https://www.google.com/maps/search/?api=1&query=Buenavista%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/02/55676-310x190.jpg
foreclosurephilippines,PDIC,Residential/Agricultural,"Nueva Valencia, Guimaras",Guimaras,4702370.0,44530.0,,,,,https://www.google.com/maps/search/?api=1&query=Nueva+Valencia%2C+Guimaras%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/03/55910-310x190.jpg
