source,seller,property_type,location_text,province,price_php,lot_area_sqm,floor_area_sqm,tct,sale_type,auction_date,maps_url,image_url,source_url,posted_date,branch
foreclosurephilippines,Pag-IBIG,,"Pavia, Iloilo",Iloilo,1226340.0,48.0,55.0,090-2020002774,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920251103099-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202412280037-lot-13-blk-17-phase-ii-deca-homes-pavia-pandac-pavia-iloilo-5001-2nd-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/20,BACOLOD BRANCH
lamudi,My Saving Grace Realty & Development Corp,Lot,"Pavia, Iloilo",Iloilo,1292000.0,60.0,,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTk3NmM1YS1lYjcyLTc4NGMtYTYzMi02Nzc0OTYwZTFlM2IvYWI4N2Y2MjhhMGY0NGM0ZmRiOGE2Mjg0YWYzMDE2OTQ1YTg5YTYxOTlmMDJhZWEyM2Q0YmQwMjk2NDlkZjUzZC5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-6774960e1e84-ebbb-1976ca3-a67b-7895,,
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1304700.0,35.0,38.5,090-2022022898,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250911021-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-foreclosed-town-house-lot-43-blk-19-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-negotiated-sale-on-mar-30-2026-apr-10-2026/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1307200.0,35.0,38.5,090-2022023195,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250912035-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-foreclosed-town-house-lot-70-blk-22-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-negotiated-sale-on-mar-30-2026-apr-10-2026/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1308200.0,35.0,38.5,090-2022024008,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920260708052-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202606250018-lot-69-blk-31-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-1st-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1310700.0,35.0,38.5,090-2022016775,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920260708029-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202606250004-lot-34-blk-18-deca-homes-sta-barbara-residences-socialized-phase-1-balabag-santa-barbara-iloilo-5002-1st-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/19,BACOLOD BRANCH
lamudi,My Saving Grace Realty & Development Corp,Lot,"Pavia, Iloilo",Iloilo,1323000.0,67.0,,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTllNDhiNi0xNGIwLTcyNDktYTA3NC1hM2JlMmMyMjAwYjIvYmJjODUyOTY5YTYyYWQ2MTQ5OWM3MWY2Njc0YmI0NTZlZmY5ODIxMDFiMzcwZDYxM2MxZWVjMTRmMTJmN2IxNS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-a3be2c2200fb-14f9-19e48ff-a0bd-7292,,
foreclosurephilippines,Pag-IBIG,,"Pavia, Iloilo",Iloilo,1365900.0,80.0,35.1,090-2016009508,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920260708024-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202606260005-lot-6-blk-43-deca-homes-pavia-resort-residences-jibao-an-pavia-iloilo-5001-1st-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/19,BACOLOD BRANCH
lamudi,My Saving Grace Realty & Development Corp,House,"Pavia, Iloilo",Iloilo,1500000.0,,40.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwMi05ODcxLTdjNmUtOGUwYy0yMTg3NmNmM2VhNmUvOGI2NmRlNGY5NzE3MzdiODIyNGQ2Mjk5YzczY2ZmNWJhNzk4YWJlNjc3YzAwYWJlZjA3ZDE1YzYxZDI5NmIzMS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-21876cf3eab7-98ba-19c564b-8e55-7cb7,,
lamudi,My Saving Grace Realty & Development Corp,Lot,"Alimodian, Iloilo",Iloilo,1700000.0,800.0,,,,,https://www.google.com/maps/search/?api=1&query=Alimodian%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTljNTYwZS0yMzMxLTc1YmQtYjk0ZC0zMmY0ZjRhODY2YTAvN2QzNDA2OWQ2ZjUwOTk1ZjE5OGQwNDBjMzYzMGY2M2YzZTQwNDc3MWFlMzEzZmUwYjQ2NDJlNmYxMDY3YTE2Ny5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-32f4f4a866e9-237a-19c5657-b996-7606,,
